YEAR,MO,DY,HR,precipitation,surface pressure
2023,1,1,0,0,87.89
2023,1,1,1,0,87.87
2023,1,1,2,0,87.84
2023,1,1,3,0,87.81
2023,1,1,4,0,87.79
2023,1,1,5,0,87.83
2023,1,1,6,0,87.89
2023,1,1,7,0,87.98
2023,1,1,8,0,88.07
2023,1,1,9,0,88.15
2023,1,1,10,0,88.17
2023,1,1,11,0,88.13
2023,1,1,12,0,88.06
2023,1,1,13,0,87.99
2023,1,1,14,0,87.94
2023,1,1,15,0,87.9
2023,1,1,16,0,87.9
2023,1,1,17,0,87.92
2023,1,1,18,0,87.97
2023,1,1,19,0,88.02
2023,1,1,20,0,88.08
2023,1,1,21,0,88.11
2023,1,1,22,0,88.11
2023,1,1,23,0,88.09
2023,1,2,0,0,88.06
2023,1,2,1,0,88.03
2023,1,2,2,0,87.99
2023,1,2,3,0,87.95
2023,1,2,4,0,87.92
2023,1,2,5,0,87.92
2023,1,2,6,0,87.94
2023,1,2,7,0,87.96
2023,1,2,8,0,88
2023,1,2,9,0,88.07
2023,1,2,10,0,88.1
2023,1,2,11,0,88.08
2023,1,2,12,0,88.04
2023,1,2,13,0,87.99
2023,1,2,14,0,87.94
2023,1,2,15,0,87.89
2023,1,2,16,0,87.87
2023,1,2,17,0,87.88
2023,1,2,18,0,87.94
2023,1,2,19,0,88.04
2023,1,2,20,0,88.11
2023,1,2,21,0,88.14
2023,1,2,22,0,88.14
2023,1,2,23,0,88.12
2023,1,3,0,0,88.08
2023,1,3,1,0,88.01
2023,1,3,2,0,87.94
2023,1,3,3,0,87.9
2023,1,3,4,0,87.91
2023,1,3,5,0,87.94
2023,1,3,6,0,87.98
2023,1,3,7,0,88.03
2023,1,3,8,0,88.09
2023,1,3,9,0,88.15
2023,1,3,10,0,88.18
2023,1,3,11,0,88.16
2023,1,3,12,0,88.09
2023,1,3,13,0,88
2023,1,3,14,0,87.95
2023,1,3,15,0,87.91
2023,1,3,16,0,87.89
2023,1,3,17,0,87.88
2023,1,3,18,0,87.9
2023,1,3,19,0,87.93
2023,1,3,20,0,87.96
2023,1,3,21,0,88
2023,1,3,22,0,88
2023,1,3,23,0,88.01
2023,1,4,0,0,87.98
2023,1,4,1,0,87.96
2023,1,4,2,0,87.92
2023,1,4,3,0,87.9
2023,1,4,4,0,87.88
2023,1,4,5,0,87.88
2023,1,4,6,0,87.92
2023,1,4,7,0,87.99
2023,1,4,8,0,88.06
2023,1,4,9,0,88.13
2023,1,4,10,0,88.17
2023,1,4,11,0,88.13
2023,1,4,12,0,88.06
2023,1,4,13,0,87.99
2023,1,4,14,0,87.94
2023,1,4,15,0,87.91
2023,1,4,16,0,87.89
2023,1,4,17,0,87.89
2023,1,4,18,0,87.91
2023,1,4,19,0,87.94
2023,1,4,20,0,87.95
2023,1,4,21,0,87.96
2023,1,4,22,0,87.96
2023,1,4,23,0,87.95
2023,1,5,0,0,87.92
2023,1,5,1,0,87.9
2023,1,5,2,0,87.89
2023,1,5,3,0,87.89
2023,1,5,4,0,87.9
2023,1,5,5,0,87.93
2023,1,5,6,0,87.98
2023,1,5,7,0,88.05
2023,1,5,8,0,88.14
2023,1,5,9,0,88.22
2023,1,5,10,0,88.27
2023,1,5,11,0,88.26
2023,1,5,12,0,88.2
2023,1,5,13,0,88.11
2023,1,5,14,0,88.04
2023,1,5,15,0,88
2023,1,5,16,0,88
2023,1,5,17,0,88.02
2023,1,5,18,0,88.06
