-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2022 ,,,,,,,,,,,,,,
Location: Latitude  27.7175   Longitude 85.3067 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 776.63 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
PS                  MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,92.9,92.65,92.54,92.2,91.95,91.56,91.62,91.66,92.2,92.5,92.7,93.03,92.29
PS,1982,92.91,92.61,92.48,92.13,92.09,91.6,91.58,91.68,92.09,92.67,92.76,92.86,92.29
PS,1983,92.93,92.67,92.37,92.19,92.02,91.7,91.71,91.84,92.07,92.42,92.89,92.89,92.31
PS,1984,92.71,92.66,92.32,92.04,91.72,91.45,91.65,91.67,92.13,92.47,92.87,92.64,92.19
PS,1985,92.83,92.21,92.22,91.92,91.82,91.4,91.75,91.71,92.1,92.53,92.74,92.83,92.17
PS,1986,92.85,92.69,92.37,92.12,91.96,91.52,91.72,91.8,92.2,92.61,92.79,93.01,92.3
PS,1987,93.01,92.86,92.43,92.21,92.16,91.58,91.6,91.77,92.14,92.61,92.74,93.03,92.34
PS,1988,92.83,92.64,92.29,92.22,91.82,91.7,91.73,91.78,92.1,92.4,92.87,93,92.28
PS,1989,92.67,92.57,92.37,91.97,91.85,91.7,91.74,91.85,92.06,92.48,92.91,93.02,92.27
PS,1990,92.73,92.7,92.58,92,91.86,91.5,91.57,91.95,92.11,92.6,92.79,93,92.28
PS,1991,92.82,92.74,92.47,92.18,91.92,91.64,91.55,91.75,92.14,92.47,92.9,92.93,92.29
PS,1992,92.97,92.6,92.34,92.17,91.97,91.63,91.73,91.87,92.09,92.5,92.9,93.02,92.32
PS,1993,92.77,92.69,92.54,92.31,91.92,91.66,91.61,91.74,92.15,92.62,92.77,92.95,92.31
PS,1994,92.75,92.61,92.36,92.24,91.94,91.47,91.52,91.77,92.13,92.63,92.94,92.95,92.27
PS,1995,92.94,92.65,92.5,92.21,91.86,91.54,91.6,91.76,92.09,92.53,92.66,93,92.28
PS,1996,92.76,92.67,92.22,92.17,91.85,91.75,91.58,91.86,92.01,92.49,92.66,92.9,92.24
PS,1997,92.82,92.52,92.48,92.39,91.96,91.66,91.56,91.81,92.2,92.81,92.88,92.97,92.34
PS,1998,92.87,92.8,92.54,92.34,91.99,91.64,91.62,91.89,92.19,92.42,92.7,92.9,92.32
PS,1999,92.74,92.83,92.14,91.99,91.77,91.64,91.52,91.74,92.1,92.46,92.73,92.9,92.21
PS,2000,92.71,92.59,92.36,91.96,91.86,91.66,91.6,91.75,92.06,92.39,92.71,92.79,92.2
PS,2001,92.65,92.51,92.44,92.21,91.82,91.56,91.61,91.81,92.15,92.5,92.84,93.04,92.26
PS,2002,92.85,92.9,92.49,92.18,91.84,91.69,91.54,91.81,92.23,92.57,92.76,92.85,92.3
PS,2003,92.96,92.77,92.52,92.24,91.93,91.53,91.8,91.82,92.09,92.58,92.82,92.98,92.33
PS,2004,92.83,92.69,92.38,92.14,91.86,91.74,91.7,91.74,92.25,92.76,92.9,92.9,92.32
PS,2005,92.84,92.71,92.5,92.4,91.98,91.53,91.73,91.71,92.19,92.65,92.76,92.83,92.32
PS,2006,92.8,92.64,92.49,92.22,92.01,91.82,91.62,91.84,92.19,92.7,92.79,92.93,92.34
PS,2007,92.93,92.73,92.52,92.27,92,91.72,91.62,91.79,92.01,92.48,92.78,92.81,92.3
PS,2008,92.73,92.68,92.39,92.21,91.88,91.67,91.65,91.8,92.14,92.59,92.8,92.84,92.28
PS,2009,92.89,92.55,92.46,92.15,91.97,91.65,91.59,91.89,92.14,92.51,92.77,92.84,92.28
