S.N.,Voltage (Volts),Count 1,Count 2,Count 3,Count 4,Count 5,Mean per 30 sec
1,300,0,0,0,0,0,0.0
2,325,0,0,0,0,0,0.0
3,350,226,262,550,773,772,516.6
4,375,776,918,871,849,881,859.0
5,400,882,860,820,716,820,819.6
6,425,870,895,890,880,866,880.2
7,450,915,882,797,876,880,870.0
8,475,865,839,871,882,872,865.8
9,500,867,871,859,898,857,870.4
10,525,887,900,882,904,877,890.0
11,550,890,858,852,908,854,872.4
12,575,977,894,909,884,915,915.8
13,600,887,920,887,868,836,879.6
14,625,860,875,942,895,864,887.2
15,650,906,877,826,866,879,870.8
16,675,872,866,903,872,841,870.8
17,700,886,883,898,918,891,895.2
18,725,954,879,922,853,878,897.2
19,750,860,878,862,821,863,856.8
20,775,907,833,865,925,894,884.8
21,800,967,867,869,893,890,897.2
